Day,Difference
2126,0.556638488
2127,0.557124861
2128,0.557611234
2129,0.558097608
2130,0.558583981
2131,0.559070354
2132,0.559556728
2133,0.560043101
2134,0.560529475
2135,0.561015848
2136,0.561502221
2137,0.561988595
2138,0.562474968
2139,0.562961341
2140,0.563447715
2141,0.563934088
2142,0.564420461
2143,0.564906835
2144,0.565393208
2145,0.565879581
2146,0.566365955
2147,0.566852328
2148,0.567338701
2149,0.567825075
2150,0.568311448
2151,0.568797821
2152,0.569284195
2153,0.569770568
2154,0.570256941
2155,0.570743315
2156,0.571229688
2157,0.571716061
2158,0.572202435
2159,0.572688808
2160,0.573175181
2161,0.573661555
2162,0.574147928
2163,0.574634301
2164,0.575120675
2165,0.575607048
2166,0.576093422
2167,0.576579795
2168,0.577066168
2169,0.577552542
2170,0.578038915
2171,0.578525288
2172,0.579011662
2173,0.579498035
2174,0.579984408